"Date last updated: Oct 14, 2020"
Gene,Drug,Guideline,CPIC Level,CPIC Level Status,PharmGKB Level of Evidence,PGx on FDA Label,CPIC Publications (PMID)
XPC,cisplatin,,D,Provisional,3,,
NQO1,cisplatin,,D,Provisional,,,
GSTM1,cisplatin,,D,Provisional,3,,
FKBP5,citalopram,,D,Provisional,2B,,
ANKK1,clozapine,,D,Provisional,,,
GSTP1,cyclophosphamide,,D,Provisional,2A,,
NQO1,cyclophosphamide,,D,Provisional,,,
SOD2,cyclophosphamide,,D,Provisional,3,,
HAS3,daunorubicin,,D,Provisional,,,
CBR3,daunorubicin,,D,Provisional,,,
NQO1,doxorubicin,,D,Provisional,,,
HAS3,doxorubicin,,D,Provisional,,,
CBR3,doxorubicin,,D,Provisional,3,,
SERPINC1,eltrombopag,,D,Provisional,,Actionable PGx,
CBR3,epirubicin,,D,Provisional,3,,
HAS3,epirubicin,,D,Provisional,,,
NQO1,epirubicin,,D,Provisional,,,
GSTP1,epirubicin,,D,Provisional,2A,,
DYNC2H1,etoposide,,D,Provisional,3,,
GSTP1,fluorouracil,,D,Provisional,2A,,
NQO1,fluorouracil,,D,Provisional,2A,,
TYMS,fluorouracil,,D,Provisional,3,,
UMPS,fluorouracil,,D,Provisional,4,,
FKBP5,fluoxetine,,D,Provisional,2B,,
CRHR1,fluticasone propionate,,D,Provisional,,,
CRHR1,fluticasone/salmeterol,,D,Provisional,,,
LPA,fluvastatin,,D,Provisional,,,
CETP,fluvastatin,,D,Provisional,3,,
ADD1,furosemide,,D,Provisional,2B,,
NT5C2,gemcitabine,,D,Provisional,2B,,
YEATS4,hydrochlorothiazide,,D,Provisional,2B,,
NEDD4L,hydrochlorothiazide,,D,Provisional,3,,
PRKCA,hydrochlorothiazide,,D,Provisional,2B,,
CBR3,idarubicin,,D,Provisional,,,
HAS3,idarubicin,,D,Provisional,,,
SEMA3C,irinotecan,,D,Provisional,3,,
C8orf34,irinotecan,,D,Provisional,3,,
UGT1A4,lamotrigine,,D,Provisional,2B,,
PTGFR,latanoprost,,D,Provisional,2B,,
C11orf65,metformin,,D,Provisional,3,,
MTRR,methotrexate,,D,Provisional,3,,
ATIC,methotrexate,,D,Provisional,2B,,
CYB5R4,metoclopramide,,D,Provisional,,Actionable PGx,
CYB5R1,metoclopramide,,D,Provisional,,Actionable PGx,
CYB5R2,metoclopramide,,D,Provisional,,Actionable PGx,
CYB5R3,metoclopramide,,D,Provisional,,Actionable PGx,
FKBP5,mirtazapine,,D,Provisional,2B,,
CCHCR1,nevirapine,,D,Provisional,3,,
CHRNA3,nicotine,,D,Provisional,2B,,
ANKK1,olanzapine,,D,Provisional,3,,
GSTP1,oxaliplatin,,D,Provisional,2A,,
GSTM1,oxaliplatin,,D,Provisional,3,,
HTR1A,paroxetine,,D,Provisional,2B,,
FKBP5,paroxetine,,D,Provisional,2B,,
VDR,peginterferon alfa-2b,,D,Provisional,3,,
HMGCR,pravastatin,,D,Provisional,3,,
CETP,pravastatin,,D,Provisional,3,,
KIF6,pravastatin,,D,Provisional,2B,,
LPA,pravastatin,,D,Provisional,,,
FDPS,raloxifene,,D,Provisional,,,
VDR,ribavirin,,D,Provisional,3,,
FDPS,risedronate,,D,Provisional,,,
ANKK1,risperidone,,D,Provisional,3,,
FCGR3A,rituximab,,D,Provisional,3,,
COQ2,rosuvastatin,,D,Provisional,3,,
LPA,rosuvastatin,,D,Provisional,,,
ADRB2,salbutamol,,D,Provisional,2A,,
COL22A1,salbutamol,,D,Provisional,2B,,
CRHR2,salbutamol,,D,Provisional,3,,
ADRB2,salmeterol,,D,Provisional,2A,,
GNB3,sildenafil,,D,Provisional,3,,
HMGCR,simvastatin,,D,Provisional,3,,
LPA,simvastatin,,D,Provisional,,,
CETP,simvastatin,,D,Provisional,3,,
ADD1,spironolactone,,D,Provisional,2B,,
ABCC4,tenofovir,,D,Provisional,3,,
CRHR1,triamcinolone,,D,Provisional,,,
FKBP5,venlafaxine,,D,Provisional,2B,,
PROS1,warfarin,,D,Provisional,,Actionable PGx,
GGCX,warfarin,,D,Provisional,3,,
CALU,warfarin,,D,Provisional,3,,
PROC,warfarin,,D,Provisional,,Actionable PGx,
